City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,mahajanga,-15.7167,46.3167,75.4,62,57,4.21,MG,23/07/22
115,mayahi,13.9553,7.6712,94.01,33,5,3.22,NE,23/07/22
116,palikir - national government center,6.9248,158.1611,83.14,74,100,3.44,FM,23/07/22
117,belek,36.8628,31.0556,88.3,47,0,8.05,TR,23/07/22
118,vila velha,-20.3297,-40.2925,67.95,95,75,6.91,BR,23/07/22
119,gonzaga,44.9498,10.8209,76.05,78,80,5.19,IT,23/07/22
120,nouadhibou,20.931,-17.0347,73.38,78,2,19.57,MR,23/07/22
121,taoudenni,22.6783,-3.9836,104.56,16,56,8.99,ML,23/07/22
122,hermanus,-34.4187,19.2345,50.81,88,100,7.56,ZA,23/07/22
123,walvis bay,-22.9575,14.5053,55.09,79,24,4.38,NA,23/07/22
124,nicoya,10.1483,-85.452,87.04,71,99,1.41,CR,23/07/22
125,bethel,41.3712,-73.414,84.72,52,20,6.91,US,23/07/22
126,leticia,-4.2153,-69.9406,91.45,52,20,4.61,CO,23/07/22
127,masterton,-40.9597,175.6575,44.89,97,100,4.0,NZ,23/07/22
128,newport,51.5877,-2.9984,62.51,94,100,19.93,GB,23/07/22
129,namtsy,62.7161,129.6658,63.23,67,100,7.94,RU,23/07/22
130,invercargill,-46.4,168.35,44.44,96,100,5.73,NZ,23/07/22
131,soc trang,9.6033,105.98,75.22,95,75,5.3,VN,23/07/22
132,al kharj,24.155,47.3346,93.24,10,37,7.36,SA,23/07/22
133,hun,29.1268,15.9477,91.56,20,0,16.6,LY,23/07/22
134,berezovyy,51.6667,135.7,68.11,59,96,3.15,RU,23/07/22
135,puerto deseado,-47.7503,-65.8938,38.3,63,96,15.79,AR,23/07/22
136,nemuro,43.3236,145.575,59.43,94,97,10.02,JP,23/07/22
137,labuan bajo,-8.4964,119.8877,71.51,85,100,6.73,ID,23/07/22
138,badger,64.8,-147.5333,82.27,43,20,5.75,US,23/07/22
139,beloyarskiy,63.7119,66.6722,58.26,86,71,4.83,RU,23/07/22
140,bubaque,11.2833,-15.8333,80.96,80,9,12.53,GW,23/07/22
141,nantucket,41.2835,-70.0995,79.09,87,40,10.36,US,23/07/22
142,vorgashor,67.5833,63.95,61.63,92,100,3.76,RU,23/07/22
143,arraial do cabo,-22.9661,-42.0278,67.86,88,40,13.8,BR,23/07/22
144,volodarsk,56.2261,43.1861,57.22,90,20,5.75,RU,23/07/22
145,alenquer,-1.9417,-54.7383,88.79,42,100,4.34,BR,23/07/22
146,as sulayyil,20.4607,45.5779,94.93,9,84,7.85,SA,23/07/22
147,kharp,66.8014,65.8081,63.37,93,99,4.68,RU,23/07/22
148,ilulissat,69.2167,-51.1,46.42,93,75,9.22,GL,23/07/22
149,al kharijah,25.4514,30.5464,89.22,17,56,6.42,EG,23/07/22
150,tamanrasset,22.785,5.5228,85.91,10,0,4.61,DZ,23/07/22
151,port alfred,-33.5906,26.891,57.18,92,8,3.0,ZA,23/07/22
152,yeppoon,-23.1333,150.7333,47.98,69,0,7.87,AU,23/07/22
153,mejit,10.2753,170.8646,82.63,74,62,19.06,MH,23/07/22
154,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,77,0,6.71,RU,23/07/22
155,oltinko'l,40.8011,72.1634,83.16,18,0,4.25,UZ,23/07/22
156,qom,34.6401,50.8764,94.55,13,96,20.54,IR,23/07/22
